아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
AoJ8NXkU,상위 15%,22.03.30,오트밀,일반,정사이즈예요,보통이에요,화면과 비슷해요,168cm,55kg,상의 55,"바지만 주문해서 입다가 좋아서 
맨투맨도 같은 색상으로 구매했어요
세트로 입으니 좋네요 어깨선이 좀 넓고 길이는 적당해요"
qC39P8L6,상위 5%,22.01.18,오트밀,기모,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,52kg,상의 55,162/51 상체마른형이라서 그런지 생각보다 크네용 근데 색도 이쁘고 소재도 좋은 것 같아요 역시 맨투맨은 기모 ㅎㅎ 따뜻하게 잘 입겠습니당
00xh8vKF,,21.12.25,메란지,일반,정사이즈예요,별로예요,화면과 비슷해요,158cm,52kg,상의 55,원래 이렇게 초딩체육복 같은 느낌인가요? 기모 없는거 선택하니까 약간 후줄근한 반티느낌이요 조거팬츠랑 색도 약간 달라서 세트로 입기도 좀 별로고 걍 그래요; 잠옷생겼당
YWI33ZnO,,21.12.17,아이보리,기모,생각보다 커요,보통이에요,화면과 비슷해요,165cm,45kg,상의 44,도톰하고 핏도 넉넉하니 마음에 드는데 흰색이라 그런지 먼지가 개빡치게 많아요 안에랑 밑에 바지 못입을정도로 ㅡㅡ
UbSJRzh7,,21.03.21,아이보리,기모,생각보다 커요,보통이에요,화면과 비슷해요,153cm,45kg,상의 55,조거팬츠랑 입으려고 샀어요 안감은 기모라서 진짜 따뜻해요 ❤️ 맘에들어요 화이트/그레이 두개 구매했어요 지금날씨에 겉옷없이 입어도 딱이예요 🥰
UbSJRzh7,,21.03.21,그레이,기모,정사이즈예요,보통이에요,화면과 비슷해요,153cm,45kg,상의 55,조거팬츠랑 입으려고 샀어요 안감은 기모라서 진짜 따뜻해요 ❤️ 맘에들어요 화이트/그레이 두개 구매했어요 지금날씨에 겉옷없이 입어도 딱이예요 🥰
sk1L04IU,,21.03.17,아이보리,일반,정사이즈예요,보통이에요,화면과 비슷해요,,,,엄청 하얀색입니다. 핏도 괜찮고 입으면 힙합니다. 편하게 입기엔 너무 하얗지만 많이 더러워지면 다른 색으로 사려고 편하게 입고 있습니다. 잘 입고 있습니다.
WvcoYtWc,,21.03.11,메란지,일반,정사이즈예요,보통이에요,화면과 비슷해요,165cm,46kg,상의 44,"길이로 고민 많았는데 165이상은 롱으로 가는게 이쁜거같네요
기모주문했다가 너무 두꺼워서 일반으로 교환했는데 그 과정이 거의 3주,,,
색은 화면 그대로 이쁘고 질은 그저그래요 ㅎㅎ"
uIAudD2s,,21.02.09,그레이,기모,정사이즈예요,보통이에요,화면과 비슷해요,170cm,53kg,상의 55,위아래 세트로 샀는데 너무 맘에 들어요! 세트로 입어도 이쁘고 무난한 색이라 다른 옷에 매치해도 데일리룩으로 딱일 것 같아요!
eLkRally,,20.12.18,그레이,기모,정사이즈예요,보통이에요,화면과 비슷해요,160cm,50kg,상의 55,양기모 맨투맨과 조거팬츠가 너무 오래걸린다 해서 다른거 먼저 보내줄줄 알았는데 같이 늦게 배송된게 아쉽네요 퀄리티는 보통이에요
XQdRxaYs,,20.12.12,메란지,기모,정사이즈예요,보통이에요,화면과 비슷해요,,,,"입어보니까 편하고 핏도 예쁘게 잡혀요
기모가있어서 더따뜻하고좋네요
바지랑 같이입어보고 싶은데 얼른왔음좋겠네요ㅎㅎ"
2mnEsKXx,,20.11.21,메란지,,생각보다 커요,별로예요,화면과 비슷해요,164cm,54kg,상의 55,세트로 착용하면 방방한 핏이라 귀여워요 색깔도 예쁘고 톡톡한 원단이예요 근데 세탁망에 넣어서 찬물 세탁하자마자 목이 많이 늘어나서 놀랐어요
UMjB4mKy,,20.05.05,오트밀,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"요아이템 세트로 구매햇는데
요즘 여행갈때나 글램핑 캠핑갈때 넘 잘입어요 !
진짜 잘산고같아소 맘에쏙들어요
원단도 도톰하니 좋구 좀더 따스워지먼 더워서 못입을거같아요"
mwL3lnnS,,20.04.21,메란지,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,50kg,상의 55,"후기보고 165 숏기장 입었어요
딱 좋아요
세일할 때 잘 샀습니다
멜란지가 화사해보여요
두께감 있는 쭈리 원단이네요"
MCUjrgkS,,20.04.14,메란지,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,50kg,상의 55,너무 대충찍어서 사진이 이상하긴하지만 편하고 좋아요! 좀 밝은색이라 체육같긴해요 ㅋㅋㅋ! 그래도 길이도 잘맞고 짱짱합니당
HZqJKUWY,,20.04.11,그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,157cm,57kg,상의 66,"평소 55반 66사이즈 입는데 사이즈가 엄청 박시해요~~ 통통한 체형이여서 더 부해보이는 감이 있어요
아직 안입어봤는데 재질은 튼튼해보여요"
JKayvO6U,,20.04.04,메란지,,생각보다 커요,보통이에요,화면과 비슷해요,,,,"똑같은 거 있었는데 세일 기간에 하나 더 샀어요! 
편하게 입기 좋은 츄리닝입니당. 쭈리면인데 브랜드 상품이랑 비교하면 내부가 좀 까끄럽긴 한데 보세 쭈리면들이 다 이런 것 같아요..! 피부 예민하신 분들은 쪼끔 까끄럽다고 느끼실 수 있을 것 같은데 많이 거슬리는 정도는 아니었어요. 요새 거의 교복수준으로 많이 입어요....세상 편한 것"
kwWM5dLE,,23.03.30,메란지 (Melange),Free,정사이즈예요,보통이에요,화면과 비슷해요,,,,"멜란지 와이드 바지가 있어서 같이 입을려고 살려고했는데 마침 반값할인해서 잘 산 거 같아요!
색도 데일리해서 잘 입고 다닐 거 같아요!"
9WsRSv9B,,22.09.20,네이비,일반,정사이즈예요,보통이에요,화면과 비슷해요,167cm,55kg,상의 55,직책배송이라 주문했는데 일반배송처럼 왔어요 쇼핑몰 사진과 거의 흡사하구요 사이즈는 55-66정도면 이쁘게 잘 맞을 것 같아요 소재도 얇지 않아 만족합니다.
90**,,22.08.24,그레이,일반,정사이즈예요,보통이에요,화면과 비슷해요,165cm,45kg,상의 55,"바지랑 세트로 입을려구요~ ㅎ 깔끔하고 무난합니다. 
데일리로 입기 좋아요! 그레이 색상 이쁘네요"
heMYqN29,,22.03.02,메란지,일반,생각보다 커요,별로예요,화면보다 어두워요,165cm,51kg,상의 55,왜 저만 이런 옷을^^ 하 진짜 이런 옷 처음 받아보네요 검수 좀 꼼꼼하게 해주세요 당장 입어야 해서 꼬매 입어요 세트 바지와는 다르게 기모 없는 기본 사면 완전 얇고 후줄근 합니다..
wg3Vyqg6,상위 10%,22.02.05,메란지,일반,정사이즈예요,보통이에요,화면과 비슷해요,,,,"예뻐요! 위아래 세트로 입으니까 더 예쁘네용
예뻐서 다른 색상도 세트로 사려구요
기모 주문했다가 교환했는데
기모 맨투맨이 훨씬 더 박시한 것 같아요"
star******,,22.01.17,블랙,기모,정사이즈예요,아주 만족해요,화면과 비슷해요,174cm,59kg,상의 66,검정이라 먼지붙는 건 어쩔수 없지만 기모도 검정기모고 소재도 좋아서 너무 만족했어요! 따뜻해요!!!
cikHrLcf,,22.01.03,메란지,기모,정사이즈예요,보통이에요,화면과 비슷해요,,,,"생각한대로 좋아요
색상도 맘에 들고 편하고 따뜻해요
밴드가 짱짱해서 아주 마음에 드네요"
YW8n72rf,상위 15%,21.03.05,메란지,일반,생각보다 커요,보통이에요,화면과 비슷해요,155cm,46kg,상의 55,"키 153에 맨투맨은 좀 길고 큰 감이 있어요.
근데 목 부분이 빨리 늘어날거 같아서 아쉽네요 ㅠ"
9ptP8AhU,,21.02.14,그레이,기모,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,45kg,상의 44,"시보리도 짱짱하고 이 가격에 이 퀄리티 만족해요
봄에 기모 없는 것듀 또 나왔으면 좋겠어요"
4c**,,20.12.27,메란지,기모,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"170인데 바지통은 널널하고 길이는 만족스러워요
주문하고 12일 뒤에 받아서 눈물날거 같앗어요 ㅋㅋ 질듀 너무좋고 기다린 보람이 있습니다!! 엄마가 사달라고 하는데... 어쩌죠"
GjIFpqrB,,20.12.26,메란지,일반,정사이즈예요,보통이에요,화면과 비슷해요,,,,"오버핏으로 원했는데, 딱 원하는 핏이에요. 
기모로 샀으면 외투입기 두꺼울까봐 일부러 없는것으로 구매했는데 좋은 선택인거같아용!! 
예뻐용ㅎㅎ"
9l4nPuBm,,20.11.05,그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,165cm,52kg,상의 55,"소재나 질도 괜찮고 색도 화면과 같아요~
맨투맨은 사이즈가 저한텐 살짝 크게 좀 박시한 느낌이 있습니당"
KlZxtreF,,20.10.20,메란지,,생각보다 커요,보통이에요,화면과 비슷해요,160cm,48kg,상의 55,확실히 루즈핏입니다 그래도 옷은 사진이랑 똑같이 색깔도 예쁘고 기다린 만큼 예쁘네요ㅎㅎㅎ 대만족입니다
21**,,20.05.10,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,46kg,상의 44,좋아요!! 그레이랑 고민했는데 역시 블랙이져 ㅋㅋ 근데 그레이도 사고파요!!ㅋㅋ 커플로 고민중입니당!ㅋㅋ 예쁜 커플룩 또 올려주세요 :)
pyuj******,,23.08.23,메란지 (Melange),Free,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,50kg,상의 55,"워싱 바지를 새로 사서 어울리는 맨투맨 찾으려다가 우연히 가격이 싸서 사게 되었는데 너무 만족해요^-^
색깔도 잘 어울리고, 색도 제가 원하던 밝은 색이라서 전 좋았어요."
4cXRmqVT,상위 10%,23.04.09,오트밀 (Oatmeal),Free,정사이즈예요,보통이에요,화면과 비슷해요,,,,"깔별 구매해서 잘입고 있어요 소재도 탄탄하고 
루즈해서 막 편하게 입기 좋네요
애기 등하원 시킬때 특히 잘입고 있어요^^"
49SrVfSx,,22.11.18,네이비,일반,생각보다 커요,보통이에요,화면과 비슷해요,154cm,50kg,상의 55,"핏이 무지 맘이 듭니다!!!!
박시하지만 적당한 어벙벙
암홀도 적당히 크고!
조거랑 셋업으로 샀는데
귀여워요…. 
배송이 너무 오래갈럈지만 아주 만족!"
zKgdbl1N,상위 10%,22.09.23,메란지,기모,생각보다 커요,아주 만족해요,화면과 비슷해요,170cm,56kg,상의 55,"엥 팬츠는 진짜 개짧고 통 개좁은데 맨투맨은 개큼
맨투맨 얼룩때문에 교환한다고 배송도 꽤기다렸는데 상하의 매치가 엉망진창임ㅋㅋㅋ따로입을게요;"
