아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
거지1,상위 5%,24.07.07,블랙 Black,,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,60kg,상의 66,지금같은 날씨에 입으면 더울것같은데 조금 선선한 여름에 입으면 딱 좋을것같습니다! 옷 틈새가 생각보다 넓어 세탁할때 유의해야겠네요ㅠㅠ 휘뚜루템으로 입고 다녀야할거ㅛ같아요! 잘입겠습니당
Qij823Yq,,24.07.05,라이트그린 Light green,,생각보다 커요,보통이에요,화면과 비슷해요,167cm,54kg,상의 55,"안에 반팔은 귀찮아서 안벗고 위에 입어봤는데
안에 나시 입으면 비침은 이정도 일거 같더라구요
승모근이 조금 부각 되는거 같지만 머리로 가리면 될거같아여
살안타 템으로 좋을거같아요 !
그물니트라 오래는 못입을거같은데
2계절 정도 보내고 새로 사면되니까 ㄱㅊ습니다"
kimy*****,,24.06.21,화이트 White,,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,45kg,,저한테는 길이가 꽤 길었어요! 하지만 예쁜 길이감이였고 어디든 매치가 잘 되어서 이번 여름 정말 잘 입을 것 같아요 ㅎㅎ 하지만 어디 걸리면 바로 올이 나가니 조심히 입어야할 것 같습니당
8S5OSFV8,상위 20%,24.06.17,블랙 Black,,정사이즈예요,보통이에요,화면과 비슷해요,167cm,54kg,상의 66,처음 구매해보는 그물 니트인데 생각보다 엄청 비치는 느낌은 아니여서 좋아요. 여름에는 더워서 나시를 선호하는데 평소에 부담스럽지 않게 나시랑 같이 막 코디해서 입기 좋을 것 같아요.
스갱,,24.05.25,화이트 White,,생각보다 커요,보통이에요,화면과 비슷해요,165cm,48kg,상의 44,목이 생각보다 많이 파여서 계속 추슬러줘야 해요ㅋㅋ 한쪽 오프숄더로도 입을 수 있을 듯. 사진은 넣어 입어서 넥라인이 앞으로 내려오는 게 적은 상태입니당. 빼서 입으면 165기준 엉덩이 다 덮어요 하의실종가능...
QOYrgZCr,,24.02.20,블랙 Black,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,59kg,상의 66,예뻐용 사진은 소라색이긴 한데... 딱 그냥 여기서 색깔만 블랙입니다 다만 오히려 블랙이 피부색과 대비돼서 조금 더 비쳐보이는 느낌이 있어요! 저는 안에 나시 입었더니 더 편하더라고요
GaOxTEZw,상위 20%,24.01.31,블랙 Black,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,60kg,상의 55,휴양지가서 잘 입었습니다 체형이 잘 커버되네요 승모 부자인 분들은 아마 좀 승모가 도드라져 보일 수 있는 넥라인인데 뭐 어떻습니까 자기만족이죠 낮엔 살안타고 저녁엔 시원하게ㅡ잘 입었어요
bess***,상위 15%,23.09.09,애쉬그레이 Gray,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,56kg,상의 55,"생각보다 잘 안 비치고 두께감이 있어서 은근 더웠어요! 근데 또 에어컨 나오는 곳에 가만히 있으면 은근 또 추운!? 제가 웜톤이라 이런 애쉬 컬러계열 입으면 얼굴이 칙칙해지는데 남자친구는 옷 잘 어울린다고 엄청 말했어요,,😯 다른사람이 보는 거랑 제가 보는 거랑 다른가봐요!! 잘 입었습니당"
룰류랄라,상위 5%,23.07.24,라이트그린,FREE,정사이즈예요,보통이에요,화면과 비슷해요,157cm,30kg 이하,상의 66,두께를 미처 생각 못 하고 사서 지금 입기에는 살짝 더울 수도 있는데 가을 되면 그래도 휘뚜루마뚜루 잘 입고 다닐 수 있을 거 같아요! 어깨 핏이나 이런 거는 생각했던 것보단 별로지만 그래도 그냥 나쁘지 않게 입고 다닐 거 같아요 ㅎㅎ
GMmDgUYU,,23.06.18,베이지 Beige,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,56kg,상의 66,"흐흐 이런거 요새 눈에 많이 보여서 구매 했는데 넘 맘에 들어요 여리여리 한 느낌 나고~ 햇빛도 가려주고 좋아요! 더울때 입으면 왕 덥습니다 ㅎㅎ
비올때 입으면 좋을 것 같아요! 추천 !!!!"
qInGPoVy,,23.06.05,White,FREE,정사이즈예요,별로예요,화면과 비슷해요,153cm,53kg,상의 55,강렬한 냄새가 나요! ㅋㅋㅋㅋ 밖에 하루 널어놓으면 괜찮을 거 같긴해요~! 근데 옷은 예뻐요~!~! 여리핏 원하면 살좀 빼고 입어야할 것 같아요
