파일명,컬럼명,전체 데이터 개수,데이터 타입,NaN 개수,최빈값,최빈값 빈도,2번째 최빈값,2번째 최빈값 빈도,3번째 최빈값,3번째 최빈값 빈도,고유값 개수
p12,퀄리티,1000,object,0,아주 만족해요,521,보통이에요,476,별로예요,3,3
p12,색감,1000,object,0,화면과 비슷해요,988,화면보다 밝아요,8,화면보다 어두워요,4,3
p12,키,1000,object,53,160cm,113,158cm,86,163cm,77,28
p12,몸무게,1000,object,55,47kg,101,53kg,98,50kg,84,37
p12,사이즈,1000,object,64,상의 55,467,상의 44,287,상의 66,167,6
p12,리뷰내용,1000,object,0,"여행가서 너무 잘 입었어요! 정 55사이즈인데, 저보다는 더 마르신분들이 입으면 좋을거같긴해요ㅋㅋ타이트한편이라, 뱃살이 드러날 수 있습니다~!",50,파진 브이넥 입을 때 이너템으로 입으려고 샀는데 딱 좋아요! 생각보다 많이 쫀쫀하긴 하지만 그래서 딱 붙어서 좋습니다~ 사진 속 브이넥 안에 입은거예요,25,기본 이너로 입으려 샀는데 생각보다 탄탄하고 쫀쫀해서 잘 입을 수 있을 것 같아요! 두께감은 조금 있는편같습니다 ! 다른 색도 구매하고 싶어요!,25,593
p15,아이디,1000,object,0,apazrv6K,5,UWr8L2Ch,3,0AQwgjZz,3,898
p15,리뷰어 등급,1000,object,671,상위 30%,65,상위 25%,62,상위 15%,55,8
p15,작성 날짜,1000,object,0,24.08.17,23,24.08.21,21,24.08.13,20,172
p15,옵션1,1000,object,0,카키,419,아이보리,255,블랙,217,7
p15,옵션2,1000,object,0,one size,1000,,0,,0,1
p15,상품 사이즈,1000,object,1,정사이즈예요,881,생각보다 커요,111,작아요,7,3
p15,퀄리티,1000,object,1,아주 만족해요,648,보통이에요,351,,0,2
p15,색감,1000,object,1,화면과 비슷해요,971,화면보다 어두워요,23,화면보다 밝아요,5,3
p15,키,1000,object,73,163cm,117,160cm,111,158cm,80,28
p15,몸무게,1000,object,76,50kg,91,53kg,86,55kg,75,43
p15,사이즈,1000,object,114,상의 55,541,상의 66,162,상의 44,157,6
p15,리뷰내용,1000,object,0,"카키 구매하고 너무 맘에 들어서 화이트랑 블랙 추가 구매했어염
질 너무 좋고 탄탄한데 너무 두껍지도 않고 비치지도 않거 요물이네여",3,모델이랑 달리 전 통통해서 부유방 보일까 걱정했는데 1도안보이고 너무 좋아요 사이즈도 딱붙지않아서 밥먹어도 괜찮아요 다만 살짝 도톰해서 이것만 단독으로 착용해도 열많은 사람은 좀 더울지도여 ㅋㅋ,3,배송 빠르고 사진이랑 같아요 색상 4개 샀는데 다 무난무난해요 속 안비추는 나름 두꺼운 천이에요 어디에든 편하게 입을수 있을듯해요,3,960
p18,아이디,1000,object,633,btjPwUYH,4,s5pmnqGl,3,LQVwLzqp,2,220
p18,리뷰어 등급,1000,object,913,상위 25%,20,상위 15%,19,상위 20%,14,7
p18,작성 날짜,1000,object,633,24.09.03,15,24.09.26,13,24.09.20,13,89
p18,옵션1,1000,object,633,화이트,157,블랙,146,차콜,38,4
p18,옵션2,1000,object,633,베이직,240,크롭,127,,0,2
p18,상품 사이즈,1000,object,633,정사이즈예요,307,생각보다 커요,54,작아요,6,3
p18,퀄리티,1000,object,633,보통이에요,181,아주 만족해요,170,별로예요,16,3
p18,색감,1000,object,633,화면과 비슷해요,358,화면보다 어두워요,5,화면보다 밝아요,4,3
p18,키,1000,object,665,160cm,51,164cm,40,158cm,32,26
p18,몸무게,1000,object,666,50kg,35,55kg,30,56kg,25,32
p18,사이즈,1000,object,671,상의 55,196,상의 44,72,상의 66,53,5
p18,리뷰내용,1000,object,633,퀄리티 좋아요 인생 브라탑입니다 재질이너무굳,4,촉감이 너무 부들부들해서 좋아요 근데 패드가 너무 아래쪽있는느낌 패드 위쪽이 넓어서 겨드랑이쪽이 좀 불편해요,3,"https://m.blog.naver.com/loveuhy/223570760479
블로그에 상세후기 작성했어요 ! ◡̈

생각보다 가슴 위까지 많이 올라오기 때문에
안에 브라를 입고 입어도 브라부분이 잘 가려져서 괜찮아 보여요
조금 올려입으면 부유방도 확실하게 가려줘서 진짜 최고였다,,,
 
두가지 색상 중 차콜은 쿨톤 찰떡 / 카키는 웜톤 찰떡임 !
핏은 정말 말해모해 대추천 이니
본인 타입에 맞게 색상만 맞춰 사시면 정말 좋을 거예요! 🖤

도로시와 심플 튜브탑 캡내장 브라탑으로 강력 추천합니당",2,310
p19,아이디,1000,object,0,FUCk73ff,3,eore*****,3,TUjUy65T,3,976
p19,리뷰어 등급,1000,object,730,상위 15%,57,상위 10%,49,상위 30%,46,7
p19,작성 날짜,1000,object,0,23.08.03,16,23.07.31,14,23.08.09,11,449
p19,옵션1,1000,object,0,라이트그린,359,코튼블랙,237,딥핑크,229,9
p19,옵션2,1000,object,419,FREE,581,,0,,0,1
p19,상품 사이즈,1000,object,1,정사이즈예요,794,생각보다 커요,145,작아요,60,3
p19,퀄리티,1000,object,1,보통이에요,635,아주 만족해요,322,별로예요,42,3
p19,색감,1000,object,1,화면과 비슷해요,942,화면보다 어두워요,49,화면보다 밝아요,8,3
p19,키,1000,object,70,160cm,121,158cm,88,163cm,77,29
p19,몸무게,1000,object,70,50kg,119,55kg,78,52kg,73,39
p19,사이즈,1000,object,74,상의 55,574,상의 44,187,상의 66,146,6
p19,리뷰내용,1000,object,0,예뻐서 핑크 연두 하얀색 샀는데 올 여름 이걸로 버팀 ㅋ 근데 살짝 큰 감이 있어서 어깨가 자꾸 흘러내려거 강제 노출쇼 가능 어깨가 좁은 탓일지도.?,3,검정이랑 핑크 둘다 같이 샀는데 맘에 들어영 부유방 가려져서 좋은듯 합니당 !!! 근데 질은 사실 딱 싼값하는 느낌.. 여행가서 잘 입었어요,2,예뻐요 나시 입으면 승모근 부각돼서 신경 쓰이는데 예쁘게 가려줘서 좋아요 좀 뜨는 느낌이 있어서 바스트 있으신 분들은 약간 부해보일 것 같아요,2,991
p20,아이디,1000,object,1,iNN1jN9R,10,JsWz6V9t,10,JYyLaD0u,10,870
p20,리뷰어 등급,1000,object,822,상위 25%,42,상위 20%,32,상위 30%,29,7
p20,작성 날짜,1000,object,1,20.09.15,10,21.06.14,10,24.08.21,10,541
p20,옵션1,1000,object,1,화이트,586,블랙,316,베이지,96,4
p20,옵션2,1000,object,1,FREE(44-77),999,,0,,0,1
p20,상품 사이즈,1000,object,3,정사이즈예요,775,생각보다 커요,151,작아요,71,3
p20,퀄리티,1000,object,3,보통이에요,722,아주 만족해요,178,별로예요,97,3
p20,색감,1000,object,583,화면과 비슷해요,400,화면보다 밝아요,15,화면보다 어두워요,2,3
p20,키,1000,object,96,160cm,174,158cm,76,163cm,71,31
p20,몸무게,1000,object,96,50kg,110,53kg,66,60kg,64,41
p20,사이즈,1000,object,97,상의 55,473,상의 44,205,상의 66,191,7
p20,리뷰내용,1000,object,1,쫀쫀하긴 해요!!!! 소재도 시원하고 좋아요! 생각보다 고정력은 잘 모르겠어요…,10,완전 쫀쫀하고 가슴모양을 예쁘게 잡아줘서 넘 좋은 거 같아요!,10,"날씬66까지 가넝한거같아요 
가장 큰 단점은 패드 모양이 ㄲㅈ부분만 접혀져서 와가지고 사실상 제 기능을 못해요.... 브라탑 입었는데도 ㄲㅈ가 어디인지 정확히 보여요 전 그냥 누드브라랑 같이 입기로했지만 재구매의사는 없어요",10,919
