아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
wuaoQjMl,상위 25%,24.07.11,Pink(핑크/긴팔),,정사이즈예요,보통이에요,화면과 비슷해요,151cm,42kg,상의 44,기본템으로 쏘쏘 색상 여리여리한 핑크 넘 잘빠짐ㅋㅋㅋ 요즘 셔츠 되도 않게 비싸게 받아서 가성비로 사봤는데 가격만큼 재질인 듯ㅋㅋ 핏이랑 길이는 맘에 들어요 빨면 주름 덜생기는 재질이길 바랬지만 그건 아닌듯ㅜㅜ
무민민무,상위 5%,24.07.09,White(화이트/반팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,53kg,상의 55,이뿌지 않나여? 넣어 입어도 빼 입어도 이쁘더라구요 그리고 저는 팔뚝살 많은 편인데 포인트는 주고싶어서 접어봤어요 그래도 이쁘고 잘 가려주더라구요ㅠㅠ 남자친구도 보자마자 이쁘다고 해줬어요 근데 주름 많이 질거같은 스타일이라 다림질 해주려구요..! 그리고 카라부분에 화장품 묻는거 조심해야할거같았어요! 166.5ㅈ정도의 키인데 엉덩이부분 반이상 덮는거 같고 이뻐서 자주 입을거같아요ㅎㅎㅎ
AhzJr2vW,,24.07.07,Deep blue(딥블루/반팔),,생각보다 커요,보통이에요,화면과 비슷해요,158cm,52kg,상의 55,"생각보다 조금 다운된톤 느낌과 상당한 오버핏!
반팔 반바지 입고 막 걸치기 좋음! 바스락 거리고 구김은 잘 가는데 세탁은 아직 안해봐서 구김이 얼마나 심할지는 두고봐야할듯합니다 그래도 품이 커서 막 입기 좋아요"
shyn******,,24.07.04,Pink(핑크/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,54kg,상의 55,"왕큰데 바스락거리는 소재라 괜찮을거 같아요 핑크색도 은은하니 나쁘지 않게 얼굴에 잘 받는거 같아요 근데 다른게
아니라 배송이! 이렇게 빠를수 있나요 어제 주문했는데 오늘 밤에 받다니..! 내일 입고 나갈게 생겨서 기분 좋아요😳"
rlad******,,24.07.03,Cream beige(크림베이지/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,164cm,58kg,상의 55,"묘하게 덩치가 커보이고 어깨가 넓어보이네요.. 재질이 바스락 거리는 재질이라 활동할 때 입으니까 땀 흘리면 바로 티나요,, 조심하세요..! 그래도 색이 파스텔노랑이라 귀여워요 팔 부분 롤업해서 입으면 그래도 괜찮아요!"
RkpUbrGA,,24.06.27,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,161cm,66kg,상의 77,생각보다 빳빳한 재질입니다! 잘 구겨질거같지만 구겨져도 예쁠 핏이라 만족해요ㅜ 근데 어깨가 너무 솟아있어서 길을 좀 들여야 할 것 같아요ㅋㅋㅋ 소매부분도 좀 길지만 접어서 입으면 진짜 평소에 잘 입고 다닐만한 셔츠입니당
monzzing,,24.06.25,Sky(스카이/긴팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,167cm,56kg,,널널해서 괜찮을줄 알고 긴팔 샀는데 확실히 요즘 입기엔 덥네요 핏도 반팔이 더 이뻤을듯 딱 아빠 셔츠 재질이고 퀄리티 좋아요 할머니가 아부지 와이샤쓰 입고 나가면 되는걸 왜 돈주고 샀냐고 하시지만 괜찮아요
OrCW1oY9,,24.06.25,Cream beige(크림베이지/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,168cm,60kg,상의 55,"솔직히 좀 더 라인이 잡혀있고 단독으로 입을 수 있는 핏을 예상했는데 너무 어벙벙한 오버핏이라 당황했지만..! 결론적으로는 이쁘긴해요 색도 화이트와 버터 사이고, 처음 사진들 처럼 아우터로 코디하면 훨씬 더 나은 핏이 나와서 그렇게 입으려구용 모델 착샷이랑 리뷰 사진보고 충분히 인지 한 줄 알았는데 다시 보니 허리 라인이 접혀있거나 팔로 가려져서 제가 잘 못 봤나봐용 단독으로 입으면 마지막 사진처럼 보임니다 ..! 앞으로 아우터로 입던가 단독으로 입으려면 알아서 허리 집어서 입을것같아요!"
qYNfqi0V,상위 5%,24.06.23,White(화이트/긴팔),,생각보다 커요,보통이에요,화면과 비슷해요,161cm,49kg,상의 44,"진짜진짜진짜크게느껴졌어요
제가 상체 체구가 좀 작고 어깨도 살짝 좁은 편인데
이거 입으면 어깡돼요...ㅎㅎ ㅜㅜ 첨엔 이걸 어케입나 막막해서 안입다가 최근에 다시 꺼내서 입어봤는데 바스락바스락하고 힘있는 재질이더라고요! 그래서 여름이니까 반팔 추가구매하려고 합니당

제 키가 162-163인데 허벅지 거의 반까지 내려오고 품이 좀 커서 크로스백이랑 매면 예뻐요

사진은 13일카인데 그냥 다들 아는 하얀색이에요!"
cYdFn8D2,,24.06.18,Light purple(라이트퍼플/긴팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,54kg,상의 55,"급하게 주문한 건데 딱 생각한 핏이라 넘 좋았어요! 컬러도 생각한 컬러였고요. 남친이 예쁘다고 자기도 입어 보드라고요 ㅋㅋ 사이즈 맞았음 뺏길뻔. 흰색 원피스랑 매치했더니 컬러 잘 맞고 반바지, 청바지 등등 매치할 곳이 많아서 교복처럼 입고 있습니다. 살짝 뒤로 걸쳐서 입으니까 훨 이쁘고 다른 컬러도 구매할 거에요. 추천 왕 추천!!!!합니다💜"
